year,name,age,sex,genotype,value
2022,cancers,0,female,total,0
2022,cancers,15,female,total,0
2022,cancers,20,female,total,7.14
2022,cancers,25,female,total,97.58
2022,cancers,30,female,total,391.51
2022,cancers,35,female,total,487.9
2022,cancers,40,female,total,371.28
2022,cancers,45,female,total,342.72
2022,cancers,50,female,total,308.21
2022,cancers,55,female,total,274.89
2022,cancers,60,female,total,199.92
2022,cancers,65,female,total,164.22
2022,cancers,70,female,total,158.27
2022,cancers,75,female,total,140.42
2022,cancers,80,female,total,108.29
2022,cancers,85,female,total,63.07
2022,cancers,90,female,total,26.18
2021,cancers,0,female,total,0
2021,cancers,15,female,total,0
2021,cancers,20,female,total,7.14
2021,cancers,25,female,total,154.7
2021,cancers,30,female,total,405.79
2021,cancers,35,female,total,410.55
2021,cancers,40,female,total,335.58
2021,cancers,45,female,total,282.03
2021,cancers,50,female,total,268.94
2021,cancers,55,female,total,242.76
2021,cancers,60,female,total,171.36
2021,cancers,65,female,total,126.14
2021,cancers,70,female,total,132.09
2021,cancers,75,female,total,110.67
2021,cancers,80,female,total,69.02
2021,cancers,85,female,total,61.88
2021,cancers,90,female,total,29.75
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,9.52
2020,cancers,25,female,total,191.59
2020,cancers,30,female,total,423.64
2020,cancers,35,female,total,429.59
2020,cancers,40,female,total,314.16
2020,cancers,45,female,total,264.18
2020,cancers,50,female,total,238
2020,cancers,55,female,total,224.91
2020,cancers,60,female,total,182.07
2020,cancers,65,female,total,135.66
2020,cancers,70,female,total,133.28
2020,cancers,75,female,total,98.77
2020,cancers,80,female,total,90.44
2020,cancers,85,female,total,58.31
2020,cancers,90,female,total,23.8
2019,cancers,0,female,total,0
2019,cancers,15,female,total,0
2019,cancers,20,female,total,32.13
2019,cancers,25,female,total,261.8
2019,cancers,30,female,total,517.65
2019,cancers,35,female,total,449.82
2019,cancers,40,female,total,360.57
2019,cancers,45,female,total,347.48
2019,cancers,50,female,total,248.71
2019,cancers,55,female,total,248.71
2019,cancers,60,female,total,188.02
2019,cancers,65,female,total,143.99
2019,cancers,70,female,total,148.75
2019,cancers,75,female,total,92.82
2019,cancers,80,female,total,114.24
2019,cancers,85,female,total,57.12
2019,cancers,90,female,total,41.65
